uri,primary_name_display,replaced
http://dx.doi.org/10.13039/100028982,"Ackerman Foundation",
http://dx.doi.org/10.13039/100025085,"Acker Warren",
http://dx.doi.org/10.13039/100005358,"ACMG Foundation for Genetic and Genomic Medicine",
http://dx.doi.org/10.13039/100027941,"ACMH Foundation",
http://dx.doi.org/10.13039/100031488,"A.C.N.M. Foundation",
http://dx.doi.org/10.13039/100024992,"A+ Construction and Remodeling",
http://dx.doi.org/10.13039/100014425,"Acorda Therapeutics",
http://dx.doi.org/10.13039/100005299,"Acoustical Society of America",
http://dx.doi.org/10.13039/100013309,"ACPA Family Services",
http://dx.doi.org/10.13039/100029674,"A. C. Ratshesky Foundation",
http://dx.doi.org/10.13039/100032479,"Acropolis Restoration Service",
http://dx.doi.org/10.13039/100027604,"AcruxKC",
http://dx.doi.org/10.13039/100014764,"ACS Division of Analytical Chemistry",
http://dx.doi.org/10.13039/100014763,"ACS Division of Carbohydrate Chemistry",
http://dx.doi.org/10.13039/100014897,"ACS Division of Environmental Chemistry",
http://dx.doi.org/10.13039/100014898,"ACS Division of Organic Chemistry",
http://dx.doi.org/10.13039/100013747,"ACSM Foundation",
http://dx.doi.org/10.13039/100029615,"ACS Women Chemists Committee",
http://dx.doi.org/10.13039/100014005,"Actavis",
http://dx.doi.org/10.13039/501100006743,"Actavis Deutschland",
http://dx.doi.org/10.13039/100005646,"Actelion Pharmaceuticals",
http://dx.doi.org/10.13039/100022332,"ACT for Alexandria",
http://dx.doi.org/10.13039/100015003,"ACT Government",
http://dx.doi.org/10.13039/501100001139,"ACT Health",
http://dx.doi.org/10.13039/100008773,"ACT Herpetological Association",
http://dx.doi.org/10.13039/100010535,"Actinium Pharmaceuticals",
http://dx.doi.org/10.13039/501100023375,"Action Against Cancer",
http://dx.doi.org/10.13039/100023180,"Action Canada",
http://dx.doi.org/10.13039/501100000316,"Action Cancer",
http://dx.doi.org/10.13039/501100019917,"Action Contre La Faim",
http://dx.doi.org/10.13039/501100016059,"Action Damien",
